,USD,"FY, 2020","FY, 2021","FY, 2022"
0,Revenue,10.9b,16.7b,26.9b
1,"Revenue growth, %",(7%),53%,
2,Cost of goods sold,4.2b,6.3b,9.4b
3,Gross profit,6.8b,10.4b,17.5b
4,"Gross profit Margin, %",62%,62%,65%
5,R&D expense,2.8b,3.9b,5.3b
6,General and administrative expense,1.1b,1.9b,2.2b
7,Operating expense total,3.9b,5.9b,7.4b
8,EBIT,2.8b,4.5b,10.0b
9,"EBIT margin, %",26%,27%,37%
10,Interest expense,52.0m,184.0m,236.0m
11,Interest income,178.0m,57.0m,29.0m
12,Pre tax profit,3.0b,4.4b,9.9b
13,Income tax expense,174.0m,77.0m,189.0m
14,Net Income,2.8b,4.3b,9.8b
15,EPS,4.5,6.9,3.9
