,Unnamed: 0,"FY, 2020","FY, 2019","FY, 2018"
0,"Male, percent",40.3%,40.5%,40.7%
1,"Female (Managers), percent",8.1%,8.3%,8.1%
2,"Female, percent",9.4%,9.4%,9.3%
3,"Male (Managers), percent",41.9%,41.8%,42%
4,Other,0.3%,0.1%,
