Kenichiro Yoshida,President and CEO,https://www.linkedin.com/in/hiroki-totoki-943b5513/,
Hiroki Totoki,Member of the Board| Executive Deputy President and Chief Financial Officer,https://www.linkedin.com/in/sachi-kambe-b474a39,
Toru Katsumoto,Executive Deputy President and CTO,https://www.linkedin.com/in/ambe-kazushi-1b1b829a/,
Terushi Shimizu,Senior Executive Vice President| Officer in charge of Imaging & Sensing Solutions Business,https://www.linkedin.com/in/toshimoto-mitomo-55786017/,
Rob Stringer,Senior Executive Vice President | Officer in charge of Music Business (Global) CEO| Sony Music Entertainment,https://www.linkedin.com/in/timschaaff/,
Anthony Vinciquerra,Senior Executive Vice President| Officer in charge of Pictures Business| Chairman and CEO| Sony Pictures Entertainment,https://www.linkedin.com/in/wendy-becker-2217704/
