name, position, linkedin 
Demis Hassabis,Co-Founder & CEO,https://www.linkedin.com/in/demishassabis/
Shane Legg,Co-Founder & Chief Scientist,https://twitter.com/demishassabis
Lila Ibrahim,Chief Operating Officer,https://www.linkedin.com/in/shanelegg/
Koray Kavukcuoglu,Vice President of Research,https://www.linkedin.com/in/librahim/
Colin Murdoch,Chief Business Officer,https://www.linkedin.com/in/koray-kavukcuoglu-0439a720/
