Meron Gribetz,CEO and Founder,https://www.linkedin.com/in/meron-gribetz-25b6673/
John Sines,CFO,https://www.linkedin.com/in/johnsines/
Kari Pulli,CTO,https://www.linkedin.com/in/karipulli/
Steve Mann,Chief Scientist,https://ca.linkedin.com/in/eyetap
