name, position, linkedin 
Jensen Huang,Founder| President and CEO| Board Member,https://www.linkedin.com/in/jenhsunhuang/
Tim Teter,EVP| General Counsel and Secretary,https://www.linkedin.com/in/timothy-s-teter-0244604/
Colette Kress,EVP and Chief Financial Officer,https://www.linkedin.com/in/colette-kress-22328346/
Jay Puri,EVP| Worldwide Field Operations,https://www.linkedin.com/in/jaypuri/
Debora Shoquist,EVP| Operations,https://www.linkedin.com/in/debbie-shoquist-620a813/
Chris A. Malachowsky,Founder,https://www.linkedin.com/in/brooke-seawell-89511a18/
Brooke Seawell,Board Member,https://www.linkedin.com/in/rob-burgess-0b654816/
Rob Burgess,Board Member,https://www.linkedin.com/in/dawn-hudson1/
Aarti Shah,Board Member,https://www.linkedin.com/in/mark-a-stevens/
